name,ttm,08/31/2023,05/31/2023,02/28/2023,11/30/2022,08/31/2022,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,02/29/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994,05/31/1994,02/28/1994,11/30/1993,08/31/1993,05/31/1993,02/28/1993,11/30/1992,08/31/1992,05/31/1992,02/29/1992,11/30/1991,08/31/1991,05/31/1991,02/28/1991,11/30/1990,08/31/1990,05/31/1990,02/28/1990,11/30/1989,08/31/1989,05/31/1989,02/28/1989,11/30/1988,08/31/1988,05/31/1988,02/29/1988,11/30/1987,08/31/1987,05/31/1987,02/28/1987,11/30/1986,08/31/1986,05/31/1986,02/28/1986
TotalRevenue,"18,886,000,000","4,890,000,000","4,816,000,000","4,655,000,000","4,525,000,000","4,433,000,000","4,386,000,000","4,262,000,000","4,110,000,000","3,935,000,000","3,835,000,000","3,905,000,000","3,424,000,000","3,225,000,000","3,128,000,000","3,091,000,000","2,991,944,000","2,834,126,000","2,744,280,000","2,600,946,000","2,464,625,000","2,291,076,000","2,195,360,000","2,078,947,000","2,006,595,000","1,841,074,000","1,772,190,000","1,681,646,000","1,608,419,000","1,463,967,000","1,398,709,000","1,383,335,000","1,306,404,000","1,217,768,000","1,162,158,000","1,109,181,000","1,073,328,000","1,005,409,000","1,068,208,000","1,000,120,000","1,041,699,000","995,119,000","1,010,549,000","1,007,873,000","1,153,428,000","1,080,580,000","1,124,449,000","1,045,220,000","1,152,161,000","1,013,212,000","1,023,179,000","1,027,706,000","1,007,946,000","990,319,000","943,035,000","858,700,000","757,283,000","697,507,000","704,673,000","786,390,000","915,301,000","887,257,000","886,886,000","890,445,000","911,211,000","851,686,000","745,577,000","649,407,000","682,175,000","602,191,000","635,456,000","655,478,000","510,371,000","487,039,000","496,029,000","472,882,000","429,502,000","403,713,000","410,085,000","423,281,000","358,586,000","319,122,000","320,146,000","296,895,000","294,654,000","284,879,000","317,359,000","267,896,000","264,540,000","292,118,000","344,093,000","328,969,000","355,194,000","328,867,000","300,085,000","282,232,000","281,770,000","260,876,000","245,886,000","226,902,000","246,736,000","222,932,000","227,310,000","197,813,000","227,132,000","230,039,000","228,264,000","226,459,000","207,675,000","180,909,000","204,337,000","193,642,000","269,101,000","156,654,000","167,992,000","168,592,000","337,700,000","88,400,000","90,400,000","81,300,000","86,600,000","78,800,000","79,600,000","68,500,000","70,700,000","63,000,000","69,600,000","62,600,000","62,800,000","57,200,000","57,100,000","52,600,000","53,300,000","42,800,000","35,300,000","37,200,000","37,700,000","30,000,000","28,100,000","25,500,000","25,300,000","25,200,000","18,800,000","14,200,000","12,300,000","10,600,000","9,600,000","6,900,000","5,300,000","4,900,000","3,500,000","2,400,000"
	OperatingRevenue,"18,886,000,000","4,890,000,000","4,816,000,000","4,655,000,000","4,525,000,000","4,433,000,000","4,386,000,000","4,262,000,000","4,110,000,000","3,935,000,000","3,835,000,000","3,905,000,000","3,424,000,000","3,225,000,000","3,128,000,000","3,091,000,000","2,991,944,000","2,834,126,000","2,744,280,000","2,600,946,000","2,464,625,000","2,291,076,000","2,195,360,000","2,078,947,000","2,006,595,000","1,841,074,000","1,772,190,000","1,681,646,000","1,608,419,000","1,463,967,000","1,398,709,000","1,383,335,000","1,306,404,000","1,217,768,000","1,162,158,000","1,109,181,000","1,073,328,000","1,005,409,000","1,068,208,000","1,000,120,000","1,041,699,000","995,119,000","1,010,549,000","1,007,873,000","1,153,428,000","1,080,580,000","1,124,449,000","1,045,220,000","1,152,161,000","1,013,212,000","1,023,179,000","1,027,706,000","1,007,946,000","990,319,000","943,035,000","858,700,000","757,283,000","697,507,000","704,673,000","786,390,000","915,301,000","887,257,000","886,886,000","890,445,000","911,211,000","851,686,000","745,577,000","649,407,000","682,175,000","602,191,000","635,456,000","655,478,000","510,371,000","487,039,000","496,029,000","472,882,000","429,502,000","403,713,000","410,085,000","423,281,000","358,586,000","319,122,000","320,146,000","296,895,000","294,654,000","284,879,000","317,359,000","267,896,000","264,540,000","292,118,000","344,093,000","328,969,000","355,194,000","328,867,000","300,085,000","282,232,000","281,770,000","260,876,000","245,886,000","226,902,000","246,736,000","222,932,000","227,310,000","197,813,000","227,132,000","230,039,000","228,264,000","226,459,000","207,675,000","180,909,000","204,337,000","193,642,000","269,101,000","156,654,000","167,992,000","168,592,000","337,700,000","88,400,000","90,400,000","81,300,000","86,600,000","78,800,000","79,600,000","68,500,000","70,700,000","63,000,000","69,600,000","62,600,000","62,800,000","57,200,000","57,100,000","52,600,000","53,300,000","42,800,000","35,300,000","37,200,000","37,700,000","30,000,000","28,100,000","25,500,000","25,300,000","25,200,000","18,800,000","14,200,000","12,300,000","10,600,000","9,600,000","6,900,000","5,300,000","4,900,000","3,500,000","2,400,000"
CostOfRevenue,"2,288,000,000","580,000,000","572,000,000","568,000,000","568,000,000","546,000,000","539,000,000","512,000,000","507,000,000","467,000,000","444,000,000","447,000,000","428,000,000","427,000,000","415,000,000","452,000,000","451,983,000","415,963,000","407,488,000","397,286,000","359,261,000","295,492,000","281,344,000","258,902,000","270,872,000","262,922,000","239,360,000","237,337,000","216,556,000","202,701,000","202,079,000","198,572,000","201,361,000","190,985,000","185,173,000","166,798,000","160,943,000","157,724,000","154,904,000","148,509,000","147,516,000","147,076,000","135,281,000","156,684,000","124,978,000","119,621,000","130,918,000","108,265,000","116,379,000","104,654,000","109,201,000","107,639,000","107,217,000","99,084,000","107,833,000","89,368,000","82,324,000","65,047,000","72,008,000","77,353,000","86,438,000","110,851,000","82,866,000","82,475,000","98,596,000","92,621,000","91,214,000","72,263,000","79,625,000","69,479,000","65,607,000","77,746,000","30,695,000","27,480,000","27,434,000","26,969,000","29,372,000","23,569,000","27,255,000","24,182,000","25,227,000","22,077,000","23,356,000","22,362,000","26,522,000","31,636,000","25,133,000","20,997,000","19,035,000","20,041,000","22,359,000","20,016,000","22,261,000","23,668,000","20,604,000","20,722,000","24,070,000","24,267,000","23,704,000","22,499,000","27,378,000","26,781,000","27,292,000","29,986,000","26,635,000","32,689,000","32,658,000","34,289,000","36,244,000","33,617,000","36,078,000","35,208,000","41,034,000","25,712,000","30,804,000","32,751,000","46,600,000","7,200,000","9,800,000","8,300,000","4,300,000","8,300,000","9,700,000","7,000,000","7,700,000","6,000,000","19,700,000","18,400,000","17,800,000","15,200,000","15,000,000","13,600,000","10,700,000","11,600,000","8,400,000","8,700,000","4,600,000","2,800,000","3,500,000",,,,,,,,,,,,,
GrossProfit,"16,598,000,000","4,310,000,000","4,244,000,000","4,087,000,000","3,957,000,000","3,887,000,000","3,847,000,000","3,750,000,000","3,603,000,000","3,468,000,000","3,391,000,000","3,458,000,000","2,996,000,000","2,798,000,000","2,713,000,000","2,639,000,000","2,539,961,000","2,418,163,000","2,336,792,000","2,203,660,000","2,105,364,000","1,995,584,000","1,914,016,000","1,820,045,000","1,735,723,000","1,578,152,000","1,532,830,000","1,444,309,000","1,391,863,000","1,261,266,000","1,196,630,000","1,184,763,000","1,105,043,000","1,026,783,000","976,985,000","942,383,000","912,385,000","847,685,000","913,304,000","851,611,000","894,183,000","848,043,000","875,268,000","851,189,000","1,028,450,000","960,959,000","993,531,000","936,955,000","1,035,782,000","908,558,000","913,978,000","920,067,000","900,729,000","891,235,000","835,202,000","769,332,000","674,959,000","632,460,000","632,665,000","709,037,000","828,863,000","776,406,000","804,020,000","807,970,000","812,615,000","759,065,000","654,363,000","577,144,000","602,550,000","532,712,000","569,849,000","577,732,000","479,676,000","459,559,000","468,595,000","445,913,000","400,130,000","380,144,000","382,830,000","399,099,000","333,359,000","297,045,000","296,790,000","274,533,000","268,132,000","253,243,000","292,226,000","246,899,000","245,505,000","272,077,000","321,734,000","308,953,000","332,933,000","305,199,000","279,481,000","261,510,000","257,700,000","236,609,000","222,182,000","204,403,000","219,358,000","196,151,000","200,018,000","167,827,000","200,497,000","197,350,000","195,606,000","192,170,000","171,431,000","147,292,000","168,259,000","158,434,000","228,067,000","130,942,000","137,188,000","135,841,000","291,100,000","81,200,000","80,600,000","73,000,000","82,300,000","70,500,000","69,900,000","61,500,000","63,000,000","57,000,000","49,900,000","44,200,000","45,000,000","42,000,000","42,100,000","39,000,000","42,600,000","31,200,000","26,900,000","28,500,000","33,100,000","27,200,000","24,600,000",,,,,,,,,,,,,
OperatingExpense,"10,186,000,000","2,613,000,000","2,620,000,000","2,501,000,000","2,452,000,000","2,403,000,000","2,318,000,000","2,170,000,000","2,102,000,000","2,027,000,000","1,985,000,000","2,004,000,000","1,781,000,000","1,729,000,000","1,697,000,000","1,702,000,000","1,570,030,000","1,564,351,000","1,587,245,000","1,508,830,000","1,384,818,000","1,276,978,000","1,215,532,000","1,117,312,000","1,086,383,000","1,032,478,000","1,028,748,000","975,310,000","919,868,000","892,279,000","852,857,000","877,424,000","814,088,000","781,515,000","783,334,000","767,603,000","787,995,000","773,308,000","778,412,000","772,202,000","789,053,000","738,480,000","738,967,000","752,963,000","720,960,000","680,281,000","690,579,000","650,801,000","695,149,000","630,632,000","637,840,000","617,692,000","611,593,000","591,312,000","596,376,000","580,877,000","495,923,000","464,793,000","467,781,000","488,851,000","526,242,000","555,743,000","543,842,000","531,108,000","536,783,000","503,485,000","473,972,000","430,807,000","439,696,000","422,647,000","420,706,000","428,768,000","287,746,000","275,971,000","286,391,000","275,201,000","253,751,000","239,830,000","240,991,000","235,837,000","218,201,000","205,269,000","205,329,000","194,025,000","194,665,000","183,773,000","199,363,000","177,755,000","181,181,000","179,234,000","203,835,000","193,499,000","208,771,000","199,323,000","183,669,000","173,178,000","168,921,000","160,241,000","155,321,000","149,950,000","154,085,000","162,311,000","161,594,000","142,337,000","143,034,000","142,954,000","137,538,000","125,372,000","123,485,000","112,394,000","120,457,000","116,088,000","181,817,000","92,162,000","90,437,000","86,534,000","246,300,000","54,000,000","56,300,000","50,600,000","59,500,000","53,400,000","48,000,000","42,300,000","38,100,000","48,500,000","27,600,000","25,000,000","25,800,000","23,100,000","21,600,000","19,500,000","24,400,000","15,800,000","14,800,000","12,200,000","17,800,000","14,100,000","12,500,000",,,,,,,,,,,,,
	SellingGeneralAndAdministration,"6,661,000,000","1,690,000,000","1,702,000,000","1,632,000,000","1,637,000,000","1,585,000,000","1,538,000,000","1,427,000,000","1,405,000,000","1,333,000,000","1,329,000,000","1,339,000,000","1,184,000,000","1,122,000,000","1,125,000,000","1,128,000,000","1,027,526,000","1,031,570,000","1,068,261,000","997,627,000","935,928,000","854,147,000","824,255,000","751,397,000","743,671,000","697,495,000","710,027,000","671,105,000","643,519,000","621,177,000","601,385,000","621,826,000","575,524,000","544,609,000","557,206,000","537,822,000","561,896,000","548,151,000","555,968,000","549,125,000","569,898,000","516,716,000","523,078,000","530,886,000","513,630,000","478,805,000","497,062,000","461,644,000","487,916,000","439,217,000","444,237,000","429,057,000","423,031,000","405,396,000","410,929,000","388,340,000","332,170,000","310,913,000","314,027,000","323,542,000","356,070,000","368,595,000","356,443,000","345,524,000","356,043,000","322,375,000","304,999,000","275,953,000","283,518,000","274,514,000","270,115,000","274,113,000","193,099,000","181,385,000","196,982,000","188,515,000","173,651,000","159,758,000","164,938,000","160,766,000","145,113,000","136,455,000","136,212,000","128,069,000","120,134,000","120,486,000","132,964,000","114,917,000","122,982,000","121,477,000","140,657,000","134,230,000","145,121,000","136,536,000","121,542,000","114,517,000","107,165,000","112,218,000","107,698,000","105,046,000","100,081,000","108,713,000","107,719,000","95,910,000","95,498,000","97,309,000","96,285,000","89,534,000","81,117,000","75,467,000","82,167,000","78,255,000","121,207,000","61,078,000","61,348,000","57,606,000","162,900,000","30,500,000","33,100,000","28,600,000","47,900,000","47,300,000","43,700,000","38,300,000","33,200,000","43,300,000","22,700,000","21,000,000","21,300,000","18,800,000","18,000,000","16,700,000","18,400,000","14,000,000","13,100,000","10,600,000","16,300,000","12,600,000","11,200,000",,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"1,381,000,000","353,000,000","357,000,000","331,000,000","340,000,000","319,000,000","291,000,000","269,000,000","274,000,000","265,000,000","256,000,000","290,000,000","243,000,000","230,000,000","224,000,000","271,000,000","225,938,000","219,256,000","219,334,000","216,109,000","212,355,000","184,063,000","178,040,000","170,440,000","169,567,000","147,402,000","156,929,000","150,808,000","148,477,000","143,702,000","138,596,000","146,935,000","134,052,000","122,578,000","130,208,000","145,081,000","133,534,000","141,676,000","129,138,000","138,984,000","138,358,000","128,043,000","120,870,000","132,853,000","111,449,000","110,249,000","110,603,000","102,681,000","119,586,000","98,493,000","95,547,000","100,979,000","100,323,000","102,177,000","89,953,000","91,046,000","74,287,000","79,593,000","70,818,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"1,381,000,000","353,000,000","357,000,000","331,000,000","340,000,000","319,000,000","291,000,000","269,000,000","274,000,000","265,000,000","256,000,000","290,000,000","243,000,000","230,000,000","224,000,000","271,000,000","225,938,000","219,256,000","219,334,000","216,109,000","212,355,000","184,063,000","178,040,000","170,440,000","169,567,000","147,402,000","156,929,000","150,808,000","148,477,000","143,702,000","138,596,000","146,935,000","134,052,000","122,578,000","130,208,000","145,081,000","133,534,000","141,676,000","129,138,000","138,984,000","138,358,000","128,043,000","120,870,000","132,853,000","111,449,000","110,249,000","110,603,000","102,681,000","119,586,000","98,493,000","95,547,000","100,979,000","100,323,000","102,177,000","89,953,000","91,046,000","74,287,000","79,593,000","70,818,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"5,280,000,000","1,337,000,000","1,345,000,000","1,301,000,000","1,297,000,000","1,266,000,000","1,247,000,000","1,158,000,000","1,131,000,000","1,068,000,000","1,073,000,000","1,049,000,000","941,000,000","892,000,000","901,000,000","857,000,000","801,588,000","812,314,000","848,927,000","781,518,000","723,573,000","670,084,000","646,215,000","580,957,000","574,104,000","550,093,000","553,098,000","520,297,000","495,042,000","477,475,000","462,789,000","474,891,000","441,472,000","422,031,000","426,998,000","392,741,000","428,362,000","406,475,000","426,830,000","410,141,000","431,540,000","388,673,000","402,208,000","398,033,000","402,181,000","368,556,000","386,459,000","358,963,000","368,330,000","340,724,000","348,690,000","328,078,000","322,708,000","303,219,000","320,976,000","297,294,000","257,883,000","231,320,000","243,209,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"3,357,000,000","881,000,000","876,000,000","827,000,000","773,000,000","775,000,000","738,000,000","701,000,000","657,000,000","651,000,000","612,000,000","620,000,000","558,000,000","566,000,000","532,000,000","532,000,000","499,806,000","489,827,000","475,958,000","464,637,000","415,958,000","398,957,000","374,128,000","348,769,000","324,026,000","315,555,000","299,401,000","285,077,000","257,849,000","248,450,000","232,484,000","237,204,000","220,514,000","218,660,000","208,047,000","215,509,000","213,687,000","212,049,000","209,092,000","209,525,000","205,196,000","208,700,000","203,097,000","209,638,000","195,047,000","189,145,000","180,903,000","177,728,000","195,403,000","181,039,000","183,211,000","178,400,000","170,378,000","168,296,000","167,318,000","174,340,000","137,852,000","138,902,000","138,470,000","149,917,000","153,148,000","170,124,000","170,300,000","168,485,000","162,847,000","163,217,000","150,049,000","137,129,000","138,416,000","130,440,000","133,285,000","137,543,000","94,647,000","94,586,000","89,409,000","86,686,000","80,100,000","80,072,000","76,053,000","75,071,000","73,088,000","68,814,000","69,117,000","65,956,000","64,181,000","59,746,000","62,858,000","59,297,000","54,649,000","54,189,000","59,597,000","55,687,000","60,270,000","61,572,000","60,912,000","57,458,000","56,926,000","48,023,000","47,623,000","44,904,000","54,004,000","53,598,000","53,310,000","46,427,000","47,536,000","43,876,000","41,253,000","38,197,000","41,742,000","36,301,000","37,664,000","37,207,000","56,599,000","29,155,000","26,494,000","26,368,000","47,800,000","17,400,000","17,200,000","16,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
